1,1,Villanova,Big East
2,1,Gonzaga,WCC
3,1,Kansas,Big 12
4,1,North Carolina,ACC
5,2,Kentucky,SEC
6,2,Duke,ACC
7,2,Arizona,Pac-12
8,2,Louisville,ACC
9,3,Baylor,Big 12
10,3,UCLA,Pac-12
11,3,West Virginia,Big 12
12,3,SMU,AAC
13,4,Florida,SEC
14,4,Oregon,Pac-12
15,4,Florida St,ACC
16,4,Notre Dame,ACC
17,5,Iowa St,Big 12
18,5,Purdue,Big Ten
19,5,Virginia,ACC
20,5,Cincinnati,AAC
21,6,Butler,Big East
22,6,Wichita St,MVC
23,6,St Mary's CA,WCC
24,6,Wisconsin,Big Ten
25,7,Creighton,Big East
26,7,Michigan,Big Ten
27,7,Minnesota,Big Ten
28,7,Oklahoma St,Big 12
29,8,Miami FL,ACC
30,8,Virginia Tech,ACC
31,8,Arkansas,SEC
32,8,Maryland,Big Ten
33,9,Northwestern,Big Ten
34,9,Wake Forest,ACC
35,9,Seton Hall,Big East
36,9,Xavier,Big East
37,10,Kansas St,Big 12
38,10,South Carolina,SEC
39,10,MTSU,C-USA
40,10,Dayton,A10
41,11,Marquette,Big East
42,11,VA Commonwealth,A10
43,11,Rhode Island,A10
44,11,UNC Wilmington,CAA
45,12,USC,Pac-12
46,12,Vanderbilt,SEC
47,12,Michigan St,Big Ten
48,12,Illinois St,MVC
49,12,Nevada,MW
50,12,Vermont,AE
51,13,Princeton,Ivy
52,13,ETSU,Southern
53,13,New Mexico St,WAC
54,13,Bucknell,Patriot
55,14,Winthrop,Big South
56,14,FL Gulf Coast,Atl Sun
57,14,Iona,MAAC
58,14,N Kentucky,Horizon
59,15,Kent,MAC
60,15,North Dakota,Big Sky
61,15,TX Southern,SWAC
62,15,Troy,Sun Belt
63,16,NC Central,MEAC
64,16,Jacksonville St,OVC
65,16,New Orleans,Southland
66,16,UC Davis,Big West
67,16,S Dakota St,Summit
68,16,Mt St Mary's,NEC
